read_id,n_framework_deviations,has_length_variant_region
950a3836-1b98-497a-b894-dfe275fe83b6,1,False
f742e7c1-da01-4d0d-85ab-135b13a166cf,1,True
fe1ceaa3-255c-4349-9309-d5f734864366,2,False
f06e9a5a-cfd5-4d01-89e8-52c8e1bf4529,19,False
c1d6488c-4c85-4d9f-9003-47e7f8dab433,1,False
c8f2282b-cd2e-4802-8d2a-53fe9313619e,0,True
de5dcc2c-9870-43e8-8865-6bdd3fddb6df,0,True
b51b6f80-725d-41f8-a1ea-9b40d584370e,0,True
91afc98f-494e-4468-a270-3764e7d12d1b,1,True
b4e3ab69-14eb-4c7c-809f-f14899118004,3,False
06d14d5f-c915-4d87-a941-d3b1f37de85c,0,True
5d3acb96-7384-4478-a3a7-4339ff312f10,1,True
82e27ff8-d366-4569-9b4f-b2ca611c6a2f,1,True
b8d5999c-a090-4da9-9a93-861010abbdc6,0,True
bbe79c9f-79ae-4618-9c78-25df6a6c610c,2,True
e410222f-a435-41ff-9299-d875be2980ba,1,True
e0d148d7-27d1-4b7c-8c82-ef64519c0122,0,True
15e866cb-d273-4f0e-a170-dc355f60bdce,2,False
035e6ec1-d0d1-47d4-9f7f-7df231529ce7,2,False
f784d31d-6638-425a-b4cf-76969178dda2,1,True
4a4352ed-93d8-45e5-a577-567836b89b8b,1,True
d3508360-16ee-4ad3-824a-278e7fa1b486,6,False
a9bfbaeb-cacc-41ef-a6f3-b9d2a2b34562,0,True
70440a3d-7152-4370-95f0-adb94c2348d9,1,True
789c0949-9c29-43ba-8036-6c74866056e2,2,True
075dd910-df63-4a34-be3b-a5053dac5d1c,0,True
26f44e21-5ba2-40fe-b0d0-8c32887fd46b,1,False
374c86ec-8756-4410-a3dd-f755c7f751b2,0,False
949a2c70-d49c-44b4-92b1-0220a404d393,1,True
2b609c5e-4bde-4164-87ee-d9a4148115f7,2,False
64cdc795-c0d8-4ac3-967a-1c5aa7658fa5,0,True
28cb17e7-47d5-41f2-b75d-cac0bdd460f5,3,True
6e4553e5-7a80-412b-8e00-ee662462c166,0,True
3cd88557-bd10-4278-9349-f78e7b1f2ba6,0,True
353ec881-1734-42b1-a0ae-c79dff349d4e,5,False
0ae79eff-13db-4c1f-bf19-3d043c3fe165,2,True
73b13ea0-4204-4f36-b553-728facb2e856,1,True
